0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.25118724,0.20306791,0.902998,-0.60721105,-0.33409572,1.0908786,0.33418986,-0.51159066,0.31619605,0.48600182,-0.64124745,0.19691938,-0.982434,1.2625724,-0.22122963,-0.13015695,1.0007895,-0.41839305,0.26213643,-0.39835492,-0.36854863,0.18425642,-0.054278586,-0.22426093,0.34200135,-0.22179471,0.7395192,-0.99776316,0.54461014,-0.108743645,-1.1044592,-0.6430462
-0.100028135,0.29317555,-0.23090494,0.39879254,0.42075178,0.17917192,-0.38021198,-0.29415983,0.2880501,0.85409707,0.40952072,0.6472203,-0.17705618,-0.6718168,0.5070477,-0.07171325,0.30865964,0.35999283,0.020274624,-1.3580748,-1.6805419,1.5005525,-0.10425062,0.73315924,1.0061594,-0.56296635,-0.3592308,0.22405867,-0.47654748,-1.2297949,-0.6120003,1.0678409
-0.2433833,0.46341574,-0.14584889,0.010718974,0.2364483,0.24741966,-0.09933957,-0.5184099,-0.02642789,0.5592901,0.022940248,0.76910424,-0.291775,-0.33919486,0.3394339,0.2652969,0.25344467,0.13596691,-0.19598828,-0.86313945,-1.2319218,0.7496667,-0.07141572,0.5269008,0.8069206,-0.47513744,0.00090319413,-0.24223576,-0.36751616,-0.80869466,-0.8443951,0.65719205
-0.50148135,0.39049068,0.30051598,-0.0023974944,0.16546182,-0.11258855,0.034417704,0.0067620426,0.020525748,0.58566844,-0.27100834,0.56930494,-0.45609975,-0.28672853,-0.26343304,-0.32956007,0.5218337,-0.38447598,-0.1113492,-0.6051043,-0.7729566,0.6979225,-0.21613891,0.47594133,0.54618233,-0.28950894,0.17865683,0.061059862,-0.2717099,-0.7054143,-0.8320113,0.22779387
0.48878407,-0.16430642,1.3676735,-0.6188676,-0.6011272,1.6508719,0.18853946,0.25434014,1.1815996,1.5290184,0.21693872,0.091213375,-1.159891,1.3941411,0.23839283,-0.21784985,0.9283398,-0.7086096,0.29562742,-0.94272345,-0.05271812,0.81804365,-0.27658948,-0.7941974,0.06417401,0.23971255,0.9991676,-1.2158542,0.58066213,0.16061504,-0.59659904,0.030470869
-0.34199485,0.10354946,0.7754297,-0.059113175,-0.55521965,0.5602734,0.6748309,0.09041997,0.5078204,0.413092,-0.09670929,-0.31538188,-1.3616506,1.3072168,0.14920901,0.2585125,0.3019518,-0.82324624,0.00904906,-0.27460846,0.37134418,0.23320639,0.50615054,-0.73219997,-0.70596784,0.57995176,1.0565325,-1.5436875,1.3175198,0.5715389,0.101098396,-0.14444812
-0.42915297,0.46589243,-0.23011404,-0.070941836,0.29083472,-0.16127445,0.08154347,-0.1318907,-0.59390783,0.42481282,-0.16387083,0.042796478,-0.39533734,0.055379868,-0.25968304,0.118287615,0.78325397,-0.5424984,-0.47361532,-0.2872795,-1.1349686,0.2689605,-0.19501257,-0.38146254,0.55359817,-0.1604623,0.4150468,0.14195016,-0.7324509,-0.6552343,-0.49776825,0.38294068
0.31880555,0.49511445,1.6304731,0.9175992,-0.3703747,0.32257184,-0.69859964,0.81210953,0.45692256,1.1235447,0.30164817,0.40477303,-0.35824108,-0.14655913,0.24826004,-1.1116965,0.6557314,-0.5133899,0.092472754,-1.3644205,-0.9150214,1.3043233,-0.22706497,0.569477,0.6743465,-0.13310088,-0.61933684,-0.127524,-0.0766151,-1.4380518,-0.89917165,1.0969232
-0.49840975,0.76308686,-0.56453854,-0.25332692,0.3413062,0.14110343,0.36294416,-0.60012704,-0.07409671,0.6298592,-0.42669567,0.539199,-0.2997012,-0.25505504,-0.012629409,0.7275951,0.055893052,-0.24181719,-0.47279605,-0.5115774,-1.1778895,0.32598424,-0.54260033,0.6711356,0.9661188,-0.68450165,0.14458145,-0.25195065,-0.16376884,-0.4544053,-0.8050885,0.2325213
0.41170767,0.27694872,0.878117,0.44993922,-0.33402994,1.074456,-0.21706104,0.68896693,-0.09509189,1.0508338,0.3739461,0.3841009,-0.7607606,0.8085067,0.9729621,-0.16521443,0.11629027,0.14033324,-0.22549492,-0.88499165,-0.6508947,1.0758063,-0.87984186,0.2584842,0.64013046,0.17232923,-0.106828354,0.20677906,-0.04067975,-0.43078843,-0.8391583,1.1201885
